text,label,sentiment,clean_text,token_count
"Asset Management One Co. has a bullish call on Treasuries. One for the long, long run https://t.co/8go8ZhMvdc",1,Bullish,"Asset Management One Co. has a bullish call on Treasuries. One for the long, long run",16
Audentes Therapeutics stock price target raised to $40 from $34 at Evercore ISI,1,Bullish,Audentes Therapeutics stock price target raised to $40 from $34 at Evercore ISI,13
Audentes Therapeutics upgraded to outperform from in line at Evercore ISI,1,Bullish,Audentes Therapeutics upgraded to outperform from in line at Evercore ISI,11
Axcelis Technologies stock price target raised to $32 from $24 at Benchmark,1,Bullish,Axcelis Technologies stock price target raised to $32 from $24 at Benchmark,12
Baird bullish on beat-up Canada Goose,1,Bullish,Baird bullish on beat-up Canada Goose,6
Baird likes drug wholesalers in premarket analyst action,1,Bullish,Baird likes drug wholesalers in premarket analyst action,8
Baird returns to Wingstop bull camp,1,Bullish,Baird returns to Wingstop bull camp,6
Baker Hughes started at buy with $32 stock price target at Deutsche Bank,1,Bullish,Baker Hughes started at buy with $32 stock price target at Deutsche Bank,13
Bank of America stock price target raised to $49 from $48 at Oppenheimer,1,Bullish,Bank of America stock price target raised to $49 from $48 at Oppenheimer,13
Barclays analysts says Uber and Lyft are well-positioned to achieve profitability https://t.co/emLga0CBm1,1,Bullish,Barclays analysts says Uber and Lyft are well-positioned to achieve profitability,11
"Bausch Health upgraded to overweight from neutral at JPMorgan, price target raised to $38 from $32",1,Bullish,"Bausch Health upgraded to overweight from neutral at JPMorgan, price target raised to $38 from $32",16
Bed Bath & Beyond reiterated as buy at BofA Merrill Lynch,1,Bullish,Bed Bath & Beyond reiterated as buy at BofA Merrill Lynch,11
Belden stock price target raised to $56 vs. $54 at SunTrust Robinson Humphrey,1,Bullish,Belden stock price target raised to $56 vs. $54 at SunTrust Robinson Humphrey,13
Benchmark says this roof supplier is a Buy,1,Bullish,Benchmark says this roof supplier is a Buy,8
Bernstein turns bullish on VMware's valuation,1,Bullish,Bernstein turns bullish on VMware's valuation,6
